name;rating;genre;year;votes;director;writer;star;country;budget;gross;company;;
Pirates of the Caribbean: Dead Man's Chest;PG-13;Action;2006;668000.0;Gore Verbinski;Ted Elliott;Johnny Depp;United States;225000000.0;1066179747.0;Walt Disney Pictures;;
Idiocracy;R;Adventure;2006;150000.0;Mike Judge;Mike Judge;Luke Wilson;United States;;495303.0;Twentieth Century Fox;;
Apocalypto;R;Action;2006;297000.0;Mel Gibson;Mel Gibson;Gerardo Taracena;United States;40000000.0;120673227.0;Icon Productions;;
She's the Man;PG-13;Comedy;2006;149000.0;Andy Fickman;Ewan Leslie;Amanda Bynes;United States;20000000.0;57194667.0;Dreamworks Pictures;;
Little Children;R;Drama;2006;107000.0;Todd Field;Todd Field;Kate Winslet;United States;26000000.0;14821658.0;New Line Cinema;;
Children of Men;R;Adventure;2006;474000.0;Alfonso Cuar��n;Alfonso Cuar��n;Julianne Moore;United States;76000000.0;70595464.0;Universal Pictures;;
The Da Vinci Code;PG-13;Mystery;2006;410000.0;Ron Howard;Akiva Goldsman;Tom Hanks;United States;125000000.0;760006945.0;Columbia Pictures;;
The Pursuit of Happyness;PG-13;Biography;2006;465000.0;Gabriele Muccino;Steve Conrad;Will Smith;United States;55000000.0;307127625.0;Columbia Pictures;;
Little Miss Sunshine;R;Comedy;2006;450000.0;Jonathan Dayton;Michael Arndt;Steve Carell;United States;8000000.0;101058954.0;Fox Searchlight Pictures;;
The Last King of Scotland;R;Biography;2006;179000.0;Kevin Macdonald;Peter Morgan;James McAvoy;United Kingdom;6000000.0;48618191.0;Fox Searchlight Pictures;;
Blood Diamond;R;Adventure;2006;511000.0;Edward Zwick;Charles Leavitt;Leonardo DiCaprio;United States;100000000.0;171720398.0;Warner Bros.;;
The Lives of Others;R;Drama;2006;368000.0;Florian Henckel von Donnersmarck;Florian Henckel von Donnersmarck;Ulrich M��he;Germany;2000000.0;77356942.0;Wiedemann & Berg Filmproduktion;;
Marie Antoinette;PG-13;Biography;2006;104000.0;Sofia Coppola;Sofia Coppola;Kirsten Dunst;United States;40000000.0;60917189.0;Columbia Pictures;;
Inside Man;R;Crime;2006;350000.0;Spike Lee;Russell Gewirtz;Denzel Washington;United States;45000000.0;186003591.0;Universal Pictures;;
Running Scared;R;Action;1986;12000.0;Peter Hyams;Gary DeVore;Gregory Hines;United States;;38500726.0;Metro-Goldwyn-Mayer (MGM);;
Running Scared;R;Action;2006;98000.0;Wayne Kramer;Wayne Kramer;Paul Walker;Germany;15000000.0;9380029.0;New Line Cinema;;
Accepted;PG-13;Comedy;2006;127000.0;Steve Pink;Adam Cooper;Justin Long;United States;23000000.0;38623262.0;Universal Pictures;;
Superman Returns;PG-13;Action;2006;274000.0;Bryan Singer;Michael Dougherty;Brandon Routh;United States;270000000.0;391081192.0;Warner Bros.;;
Slither;R;Comedy;2006;76000.0;James Gunn;James Gunn;Nathan Fillion;Canada;15000000.0;12834936.0;Gold Circle Films;;
Nacho Libre;PG;Comedy;2006;83000.0;Jared Hess;Jared Hess;Jack Black;United States;35000000.0;99255460.0;Paramount Pictures;;
The Covenant;PG-13;Action;2006;48000.0;Renny Harlin;J.S. Cardone;Steven Strait;United States;20000000.0;37598767.0;Screen Gems;;
